BPM=135

G5, 150
FS5, 150
G5, 400
NO, 100

G5, 150
FS5, 150
G5, 400
NO, 100

G5, 150
FS5, 150
E5, 300
D5, 100

D5, 500
NO, 100
B4, 200
D5, 100

E5, 400
NO, 100
E5, 200
G5, 100

A5, 400
NO, 100
G5, 200
A5, 100

B5, 150
D5, 150
E5, 150
D5, 150
E5, 200

E5, 150
D5, 150
E5, 150
D5, 150
E5, 200

E5, 150
D5, 150
E5, 150
D5, 150
E5, 200

E5, 150
D5, 150
E5, 150
D5, 150
E5, 200

E5, 150
G5, 150
FS5, 200
D5, 100
E5, 100

D5, 500
A4, 100
G4, 100
A4, 100
C5, 100

B4, 100
E4, 600
NO, 200

E4, 100
G4, 50
A4, 50
NO, 50
B4, 150
A4, 100
B4, 100
D5, 100

E5, 150
G5, 150
FS5, 200
D5, 100
E5, 100

D5, 500
B5, 100
A5, 100
B5, 100
C6, 100

B5, 100
G5, 600
G5, 100

FS5, 150
FS5, 150
G5, 100
A5, 200
NO, 100
G5, 100

A5, 150
G5, 150
E5, 150
G5, 150
B5, 150
A5,  50

NO, 100
A5, 100
A5, 100
A5, 100
A5, 150
B5, 150
G5, 100

A5, 150
G5, 150
E5, 150
G5, 150
D6, 200

NO, 100
A5, 100
A5, 100
A5, 100
A5, 150
FS5,150
G5, 100

A5, 150
G5, 150
E5, 200
G5, 100
B5, 100
A5, 100

NO, 200
A5, 100
B5, 100
A5, 100
B5, 100
D6, 100
B5, 100

A5, 150
G5, 550
G5, 100

FS5,150
FS5,150
G5, 100
A5, 200
NO, 200

G5, 150
FS5,150
G5, 400
NO, 100

G5, 150
FS5,150
G5, 400
NO, 100

G5, 150
FS5,150
E5, 300
D5, 100

D5, 500
NO, 100
B4, 200
D5, 100

E5, 400
NO, 100
E5, 200
G5, 100

A5, 400
NO, 100
G5, 200
A5, 100

B5, 100
A4, 100
B4, 100
D5, 100
E5, 100
FS5,100
G5, 100
FS5,100

NO, 200
D5, 200
D5, 200
B5, 200

A5, 100
B5, 100
D6, 100
B5, 100
A5, 100
B5, 50
B5, 50
NO, 100
G5, 100

A5, 100
B5, 100
D6, 100
B5, 100
A5, 100
B5, 50
B5, 50
NO, 100
D5, 100

D5, 100
G5, 50
G5, 50
NO, 100
D5, 100
D5, 100
G5, 100
A5, 100
G5, 100

D6, 200
C6, 200
B5, 150
A5, 150
G5, 100

G5, 300
G5, 200
A5, 100
B5, 100
A5, 100

NO, 300
A5, 200
B5, 100
D6, 100
B5, 100

NO, 150
D5, 150
E5, 150
D5, 150
E5, 200

NO, 200
D5, 200
D5, 200
B5, 200

A5, 100
B5, 100
D6, 100
B5, 100
A5, 100
B5, 50
B5, 50
NO, 100
G5, 100

A5, 100
B5, 100
D6, 100
B5, 100
A5, 100
B5, 50
G5, 50
NO, 100
G5, 100

G5, 150
A5, 150
B5, 200
B5, 100
G6, 100
FS6,100

NO, 200
D6, 200
B5, 150
A5, 150
G5, 100

G5, 300
G5, 200
A5, 100
B5, 100
A5, 100

NO, 300
A5, 100
A5, 200
B5, 200

E5, 150
D5, 150
E5, 150
D5, 150
E5, 200

E5, 150
D5, 150
E5, 150
D5, 150
E5, 100
E5, 100

E5, 150
D5, 150
E5, 150
D5, 150
E5, 200

E5, 150
D5, 150
E5, 150
D5, 150
E5, 100
E5, 100
