E5,  200
G5,  100
C5,  300
NO,  200

A5,  200
C6,  100
F5,  300
NO,  200

B5,  100
B5,  100
C6,  100
D6,  100
C6,  400

E5,  200
G5,  100
C5,  300
NO,  200

A5,  200
C6,  100
F5,  300
NO,  200

A5,  100
B5,  100
G5,  100
A5,  100
B5,  100
D5,  100
C5, 1000

E5,  200
G5,  100
C5,  300
NO,  200

A5,  200
C6,  100
F5,  300
NO,  200

B5,  100
C6,  100
D6,  100
C6,  400

E5,  200
G5,  100
C5,  300
NO,  200

A5,  200
C6,  100
F5,  300
NO,  200

A5,  100
B5,  100
G5,  100
A5,  100
B5,  100
D5,  100
C5, 1000

NO, 1600
